anon_polygon_id,start,end,duration_days,n_points,n_observed,min_z,mean_z,negative_area,confidence,severity,level,reason_codes,explanation
AOI-0018,2020-06-24,2020-10-19,117,68,59,-4.693414162683803,-2.670549057689545,39.75742485895032,1.0,39.7574,критическая,повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2020-06-24 по 2020-10-19 (117 дн.) NDVI поля AOI-0018 был ниже собственной исторической нормы, минимум z = -4.69. Совпадения: повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0057,2013-05-25,2013-08-13,80,18,18,-12.14147678199037,-4.563291649877421,29.919765152106653,1.0,29.9198,критическая,вероятна смена культуры или пар: отклонение охватывает почти весь сезон,"С 2013-05-25 по 2013-08-13 (80 дн.) NDVI поля AOI-0057 был ниже собственной исторической нормы, минимум z = -12.14. Совпадения: вероятна смена культуры или пар: отклонение охватывает почти весь сезон. Это описание отклонения, а не установленная причина."
AOI-0029,2018-04-11,2018-06-20,70,17,15,-3.907189532112014,-2.274451410957653,29.535119336250112,1.0,29.5351,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); вероятна смена культуры или пар: отклонение охватывает почти весь сезон,"С 2018-04-11 по 2018-06-20 (70 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -3.91. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); вероятна смена культуры или пар: отклонение охватывает почти весь сезон. Это описание отклонения, а не установленная причина."
AOI-0065,2015-04-07,2015-06-09,63,12,12,-11.562545119739772,-6.7550418923439475,27.80015014043682,1.0,27.8002,критическая,вероятна смена культуры или пар: отклонение охватывает почти весь сезон,"С 2015-04-07 по 2015-06-09 (63 дн.) NDVI поля AOI-0065 был ниже собственной исторической нормы, минимум z = -11.56. Совпадения: вероятна смена культуры или пар: отклонение охватывает почти весь сезон. Это описание отклонения, а не установленная причина."
AOI-0016,2021-06-26,2021-09-04,70,38,34,-4.596625750139431,-2.7474211674819315,27.397524262313663,1.0,27.3975,критическая,длительное отклонение,"С 2021-06-26 по 2021-09-04 (70 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -4.60. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0002,2014-06-21,2014-10-16,117,21,21,-4.665654423512041,-2.057033505730124,26.98823610461365,1.0,26.9882,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение,"С 2014-06-21 по 2014-10-16 (117 дн.) NDVI поля AOI-0002 был ниже собственной исторической нормы, минимум z = -4.67. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0075,2021-06-12,2021-08-11,60,35,35,-4.995479006524655,-3.049703106053928,26.132505664734417,1.0,26.1325,критическая,повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2021-06-12 по 2021-08-11 (60 дн.) NDVI поля AOI-0075 был ниже собственной исторической нормы, минимум z = -5.00. Совпадения: повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0022,2024-05-04,2024-06-24,51,21,21,-4.590876333057939,-2.32163015245182,23.69470957762572,1.0,23.6947,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2024-05-04 по 2024-06-24 (51 дн.) NDVI поля AOI-0022 был ниже собственной исторической нормы, минимум z = -4.59. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0026,2020-04-25,2020-06-09,45,17,17,-4.683136030483635,-2.5398928120932327,23.62399418694745,1.0,23.624,критическая,длительное отклонение,"С 2020-04-25 по 2020-06-09 (45 дн.) NDVI поля AOI-0026 был ниже собственной исторической нормы, минимум z = -4.68. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0066,2021-04-02,2021-05-20,48,19,18,-6.216876411843056,-3.9165491520240407,22.911831487282463,1.0,22.9118,критическая,длительное отклонение,"С 2021-04-02 по 2021-05-20 (48 дн.) NDVI поля AOI-0066 был ниже собственной исторической нормы, минимум z = -6.22. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0012,2015-04-06,2015-06-01,56,9,8,-5.151361969600115,-2.659059864710608,22.04831051260954,1.0,22.0483,критическая,длительное отклонение,"С 2015-04-06 по 2015-06-01 (56 дн.) NDVI поля AOI-0012 был ниже собственной исторической нормы, минимум z = -5.15. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0023,2013-06-10,2013-07-28,48,12,12,-3.6857330118215237,-1.9567842942853284,22.04296634847147,1.0,22.043,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение,"С 2013-06-10 по 2013-07-28 (48 дн.) NDVI поля AOI-0023 был ниже собственной исторической нормы, минимум z = -3.69. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0016,2024-06-13,2024-08-12,60,30,26,-2.201031837651751,-1.7680414731451362,21.945481042065076,1.0,21.9455,критическая,длительное отклонение,"С 2024-06-13 по 2024-08-12 (60 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -2.20. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0043,2016-04-22,2016-06-09,48,10,10,-3.2149736041593546,-2.54133668439751,21.753435706702994,1.0,21.7534,критическая,длительное отклонение,"С 2016-04-22 по 2016-06-09 (48 дн.) NDVI поля AOI-0043 был ниже собственной исторической нормы, минимум z = -3.21. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0026,2024-05-04,2024-06-13,40,13,13,-4.461329099927826,-2.6862741346503216,21.506926488580838,1.0,21.5069,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2024-05-04 по 2024-06-13 (40 дн.) NDVI поля AOI-0026 был ниже собственной исторической нормы, минимум z = -4.46. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0049,2018-06-10,2018-07-26,46,15,12,-3.7705465019505255,-2.133977208318006,21.149356248273254,1.0,21.1494,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2018-06-10 по 2018-07-26 (46 дн.) NDVI поля AOI-0049 был ниже собственной исторической нормы, минимум z = -3.77. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0018,2019-05-11,2019-07-06,56,33,27,-5.020076278733492,-3.1098696088538995,20.74688998135297,1.0,20.7469,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2019-05-11 по 2019-07-06 (56 дн.) NDVI поля AOI-0018 был ниже собственной исторической нормы, минимум z = -5.02. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0018,2018-07-28,2018-10-16,80,24,19,-4.260958435081932,-2.708487208509571,20.668652563100267,1.0,20.6687,критическая,длительное отклонение,"С 2018-07-28 по 2018-10-16 (80 дн.) NDVI поля AOI-0018 был ниже собственной исторической нормы, минимум z = -4.26. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0009,2024-04-09,2024-06-08,60,18,17,-3.5437389903648664,-1.9846501902574554,20.618041631552636,1.0,20.618,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); вероятна смена культуры или пар: отклонение охватывает почти весь сезон,"С 2024-04-09 по 2024-06-08 (60 дн.) NDVI поля AOI-0009 был ниже собственной исторической нормы, минимум z = -3.54. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); вероятна смена культуры или пар: отклонение охватывает почти весь сезон. Это описание отклонения, а не установленная причина."
AOI-0016,2023-06-29,2023-08-28,60,31,25,-3.1822251336136844,-1.8471510370350666,19.93950061492069,1.0,19.9395,критическая,длительное отклонение,"С 2023-06-29 по 2023-08-28 (60 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -3.18. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0024,2014-07-23,2014-10-16,85,24,20,-3.55155590913321,-2.097288988232945,19.89656646818066,1.0,19.8966,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение,"С 2014-07-23 по 2014-10-16 (85 дн.) NDVI поля AOI-0024 был ниже собственной исторической нормы, минимум z = -3.55. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0029,2024-05-09,2024-06-18,40,9,8,-2.504159313101693,-1.8999708413632055,19.8444077268878,1.0,19.8444,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2024-05-09 по 2024-06-18 (40 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -2.50. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0018,2021-07-14,2021-09-13,61,33,26,-2.8746921643314733,-1.8710946450562225,19.560196401740598,1.0,19.5602,критическая,длительное отклонение,"С 2021-07-14 по 2021-09-13 (61 дн.) NDVI поля AOI-0018 был ниже собственной исторической нормы, минимум z = -2.87. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0029,2022-04-24,2022-06-09,46,14,13,-3.1758697603316763,-2.289730821721162,19.307079621141852,1.0,19.3071,критическая,длительное отклонение,"С 2022-04-24 по 2022-06-09 (46 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -3.18. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0049,2014-06-10,2014-07-28,48,10,9,-6.827616648821814,-4.404487758336156,19.19585566441556,1.0,19.1959,критическая,длительное отклонение,"С 2014-06-10 по 2014-07-28 (48 дн.) NDVI поля AOI-0049 был ниже собственной исторической нормы, минимум z = -6.83. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0018,2022-04-05,2022-06-09,65,23,18,-4.181105349619536,-2.1397026238129544,18.83836050213868,1.0,18.8384,критическая,вероятна смена культуры или пар: отклонение охватывает почти весь сезон,"С 2022-04-05 по 2022-06-09 (65 дн.) NDVI поля AOI-0018 был ниже собственной исторической нормы, минимум z = -4.18. Совпадения: вероятна смена культуры или пар: отклонение охватывает почти весь сезон. Это описание отклонения, а не установленная причина."
AOI-0078,2020-06-27,2020-08-11,45,22,18,-2.824482565923737,-1.6976802693944153,18.369296531580716,1.0,18.3693,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение,"С 2020-06-27 по 2020-08-11 (45 дн.) NDVI поля AOI-0078 был ниже собственной исторической нормы, минимум z = -2.82. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет); повышенная температура (выше 80-го перцентиля); длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0003,2015-04-13,2015-06-01,49,10,10,-5.540805942247248,-2.848910102152961,18.097989197381843,1.0,18.098,критическая,длительное отклонение,"С 2015-04-13 по 2015-06-01 (49 дн.) NDVI поля AOI-0003 был ниже собственной исторической нормы, минимум z = -5.54. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0021,2017-04-26,2017-06-06,41,14,14,-7.064635333233658,-2.30558880020645,17.966984955919376,1.0,17.967,критическая,длительное отклонение,"С 2017-04-26 по 2017-06-06 (41 дн.) NDVI поля AOI-0021 был ниже собственной исторической нормы, минимум z = -7.06. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0057,2020-04-25,2020-06-05,41,18,18,-3.644156609445909,-2.541461247379869,17.722610726006675,1.0,17.7226,критическая,длительное отклонение,"С 2020-04-25 по 2020-06-05 (41 дн.) NDVI поля AOI-0057 был ниже собственной исторической нормы, минимум z = -3.64. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0075,2018-06-18,2018-07-28,40,12,12,-4.066562656158106,-2.909373631170354,17.672789129254934,1.0,17.6728,критическая,длительное отклонение,"С 2018-06-18 по 2018-07-28 (40 дн.) NDVI поля AOI-0075 был ниже собственной исторической нормы, минимум z = -4.07. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
