model,mode,n,rmse,gap_score
nearest_left,A,6000,0.10798761076777615,0.0
nearest_left,B,6000,0.11415259907374607,0.0
nearest_left,C,1200,0.17877237430979828,0.0
nearest_left,D,117,0.11757604614833411,0.0
nearest_right,A,6000,0.10754512519989949,0.0
nearest_right,B,6000,0.11366049825711139,0.0
nearest_right,C,1200,0.17877237430979828,0.0
nearest_right,D,117,0.11757604614833411,0.0
mean_neighbors,A,6000,0.08845463098077207,3.46
mean_neighbors,B,6000,0.09559147167376002,1.32
mean_neighbors,C,1200,0.17877237430979828,0.0
mean_neighbors,D,117,0.11757604614833411,0.0
linear,A,6000,0.08956171509682996,3.13
linear,B,6000,0.09725407566995589,0.82
linear,C,1200,0.17877237430979828,0.0
linear,D,117,0.11757604614833411,0.0
seasonal_crop,A,6000,0.17828251029067027,0.0
seasonal_crop,B,6000,0.17415178053423602,0.0
seasonal_crop,C,1200,0.17890329108196942,0.0
seasonal_crop,D,117,0.1387262659589279,0.0
pchip,A,6000,0.09353852300502626,1.94
pchip,B,6000,0.10109254451462693,0.0
pchip,C,1200,0.17877237430979828,0.0
pchip,D,117,0.11757604614833411,0.0
akima,A,6000,0.09782834086046197,0.65
akima,B,6000,0.10422816914275046,0.0
akima,C,1200,0.17877237430979828,0.0
akima,D,117,0.11757604614833411,0.0
