anon_polygon_id,date,p_s2,p_landsat,p_modis,p_unknown,left_distance_days,right_distance_days,model_disagreement,fallback_reason,context_quality,source_confidence,quality_flags,interval_status,interval_level,harmonization_status
AOI-0001,2010-08-29,0.02377381792519407,0.5263559834660753,0.4402548139933461,0.009615384615384616,7.0,1.0,0.0,,0.9375,0.5263559834660753,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2010-10-25,0.04754763585038814,0.8219427361629197,0.11127885875592297,0.019230769230769232,1.0,159.0,0.0,,0.9375,0.8219427361629197,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2011-06-13,0.034339959225280325,0.7047364205621087,0.24703473132372217,0.013888888888888888,3.0,1.0,0.0,,0.9375,0.7047364205621087,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2011-09-18,0.034339959225280325,0.7602919761176642,0.1914791757681666,0.013888888888888888,1.0,7.0,0.0,,0.9375,0.7602919761176642,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2011-09-26,0.038632454128440366,0.7303284731323723,0.21541407273918742,0.015625,1.0,20.0,0.0,,0.9375,0.7303284731323723,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2011-09-30,0.02377381792519407,0.2186636757737675,0.7479471216856537,0.009615384615384616,5.0,16.0,0.0,,0.75,0.7479471216856537,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-05-24,0.024724770642201833,0.2274102228047182,0.7378650065530798,0.01,2.0,7.0,0.0,,0.8823529411764706,0.7378650065530798,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-07-09,0.04415137614678899,0.6918039692941397,0.24618751170192849,0.017857142857142856,14.0,16.0,0.0,,0.5172413793103449,0.6918039692941397,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-07-11,0.02687475069804547,0.11675024217904154,0.8455054419055216,0.010869565217391304,16.0,14.0,0.0,,0.5172413793103449,0.8455054419055216,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-08-10,0.08830275229357798,0.5264650814454221,0.3495178805467141,0.03571428571428571,14.0,16.0,0.0,,0.5172413793103449,0.5264650814454221,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-08-12,0.029434250764525993,0.36596455095799785,0.5926964363727143,0.011904761904761904,16.0,14.0,0.0,,0.5172413793103449,0.5926964363727143,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2012-10-15,0.028096330275229356,0.3038752531871798,0.6566647801739545,0.011363636363636364,2.0,174.0,0.0,,0.8823529411764706,0.6566647801739545,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2013-05-01,0.04120795107033639,0.712350371341197,0.22977501092179992,0.016666666666666666,8.0,1.0,0.0,,0.9375,0.712350371341197,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2013-07-12,0.030905963302752294,0.5342627785058978,0.42233125819135,0.0125,8.0,8.0,0.0,,0.6521739130434783,0.5342627785058978,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2013-09-30,0.028096330275229356,0.3038752531871798,0.6566647801739545,0.011363636363636364,16.0,8.0,0.0,,0.6521739130434783,0.6566647801739545,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-04-18,0.04415137614678899,0.6918039692941397,0.24618751170192849,0.017857142857142856,8.0,5.0,0.0,,0.75,0.6918039692941397,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-05-25,0.02377381792519407,0.257125214235306,0.7094855832241153,0.009615384615384616,4.0,11.0,0.0,,0.7894736842105263,0.7094855832241153,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-06-26,0.024724770642201833,0.2674102228047182,0.6978650065530799,0.01,16.0,3.0,0.0,,0.8333333333333334,0.6978650065530799,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-07-15,0.05150993883792049,0.807104630843163,0.12055209698558322,0.020833333333333332,3.0,8.0,0.0,,0.8333333333333334,0.807104630843163,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-07-28,0.02687475069804547,0.37761980739643286,0.5846358766881304,0.010869565217391304,4.0,3.0,0.0,,0.8333333333333334,0.5846358766881304,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-08-09,0.038632454128440366,0.7928284731323723,0.15291407273918742,0.015625,1.0,7.0,0.0,,0.9375,0.7928284731323723,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-08-13,0.025754969418960244,0.2785523154215815,0.6852760484927916,0.010416666666666666,5.0,3.0,0.0,,0.8333333333333334,0.6852760484927916,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-10-03,0.06867991845056065,0.6316950633464394,0.27184724042522207,0.027777777777777776,3.0,8.0,0.0,,0.8333333333333334,0.6316950633464394,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2014-10-16,0.028096330275229356,0.16751161682354343,0.7930284165375908,0.011363636363636364,5.0,11.0,0.0,,0.75,0.7930284165375908,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-04-13,0.07726490825688073,0.4606569462647444,0.43082814547837484,0.03125,6.0,1.0,0.0,,0.9375,0.4606569462647444,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-08-11,0.038632454128440366,0.6678284731323723,0.27791407273918745,0.015625,8.0,2.0,0.0,,0.8823529411764706,0.6678284731323723,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-08-12,0.034339959225280325,0.7602919761176642,0.1914791757681666,0.013888888888888888,9.0,1.0,0.0,,0.9375,0.7602919761176642,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-08-27,0.04415137614678898,0.6203753978655682,0.3176160831304999,0.017857142857142856,14.0,2.0,0.0,,0.8823529411764706,0.6203753978655682,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-09-20,0.04120795107033638,0.6456837046745303,0.29644167758846657,0.016666666666666663,6.0,9.0,0.0,,0.7142857142857143,0.6456837046745303,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2015-09-28,0.04120795107033638,0.6456837046745303,0.29644167758846657,0.016666666666666663,14.0,1.0,0.0,,0.9375,0.6456837046745303,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2016-06-27,0.034339959225280325,0.7602919761176642,0.1914791757681666,0.013888888888888888,1.0,14.0,0.0,,0.9375,0.7602919761176642,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
AOI-0001,2016-07-04,0.038632454128440366,0.7303284731323723,0.21541407273918742,0.015625,8.0,7.0,0.0,,0.6818181818181818,0.7303284731323723,"['unseen_polygon', 'interval_not_coverage_certified', 'harmonization_incomplete']",empirical_oof_not_certified,0.95,partial_or_identity
