mode,repeat,fold,subgroup,level,n,coverage,mean_width
A,0,0,overall,0.8,1200,0.8025,0.1956964128867165
A,0,0,unseen,0.8,1022,0.799412915851272,0.19691907504279674
A,0,0,overall,0.95,1200,0.9616666666666667,0.38068964364031926
A,0,0,unseen,0.95,1022,0.9598825831702544,0.38180447266646306
A,1,0,overall,0.8,1200,0.7791666666666667,0.19436161239471622
A,1,0,unseen,0.8,1024,0.775390625,0.19643553634562474
A,1,0,overall,0.95,1200,0.9516666666666667,0.3802836257348821
A,1,0,unseen,0.95,1024,0.94921875,0.38361258230010853
A,2,0,overall,0.8,1200,0.8,0.19828479772398835
A,2,0,unseen,0.8,1018,0.7907662082514735,0.20053903287486727
A,2,0,overall,0.95,1200,0.9616666666666667,0.382875718588562
A,2,0,unseen,0.95,1018,0.9607072691552063,0.3859687496808365
A,3,0,overall,0.8,1200,0.8133333333333334,0.196056543388204
A,3,0,unseen,0.8,1034,0.8104448742746615,0.19613350027926396
A,3,0,overall,0.95,1200,0.9625,0.38094911895194467
A,3,0,unseen,0.95,1034,0.9622823984526112,0.38037153538597546
A,4,0,overall,0.8,1200,0.8358333333333333,0.19816943534227968
A,4,0,unseen,0.8,1008,0.8343253968253969,0.19873864697137833
A,4,0,overall,0.95,1200,0.9575,0.37718218016948457
A,4,0,unseen,0.95,1008,0.9603174603174603,0.37734519862230576
B,0,0,overall,0.8,1200,0.7925,0.19800839841265633
B,0,0,unseen,0.8,1200,0.7925,0.19800839841265633
B,0,0,overall,0.95,1200,0.9558333333333333,0.3804935769994749
B,0,0,unseen,0.95,1200,0.9558333333333333,0.3804935769994749
B,0,1,overall,0.8,1200,0.8133333333333334,0.19757570898239427
B,0,1,unseen,0.8,1200,0.8133333333333334,0.19757570898239427
B,0,1,overall,0.95,1200,0.9383333333333334,0.37615579388196496
B,0,1,unseen,0.95,1200,0.9383333333333334,0.37615579388196496
B,0,2,overall,0.8,1200,0.83,0.1967833332829097
B,0,2,unseen,0.8,1200,0.83,0.1967833332829097
B,0,2,overall,0.95,1200,0.9658333333333333,0.3810323816766463
B,0,2,unseen,0.95,1200,0.9658333333333333,0.3810323816766463
B,0,3,overall,0.8,1200,0.815,0.20203340271289993
B,0,3,unseen,0.8,1200,0.815,0.20203340271289993
B,0,3,overall,0.95,1200,0.9491666666666667,0.3832453704318647
B,0,3,unseen,0.95,1200,0.9491666666666667,0.3832453704318647
B,0,4,overall,0.8,1200,0.7408333333333333,0.19362419512489282
B,0,4,unseen,0.8,1200,0.7408333333333333,0.19362419512489282
B,0,4,overall,0.95,1200,0.9116666666666666,0.36970758772841344
B,0,4,unseen,0.95,1200,0.9116666666666666,0.36970758772841344
C,0,0,overall,0.8,1200,0.6716666666666666,0.2906656594176635
C,0,0,overall,0.95,1200,0.8166666666666667,0.481451208805157
D,0,0,overall,0.8,22,0.6818181818181818,0.30334671963405707
D,0,0,unseen,0.8,22,0.6818181818181818,0.30334671963405707
D,0,0,hard,0.8,22,0.6818181818181818,0.30334671963405707
D,0,0,overall,0.95,22,0.8181818181818182,0.543759196342475
D,0,0,unseen,0.95,22,0.8181818181818182,0.543759196342475
D,0,0,hard,0.95,22,0.8181818181818182,0.543759196342475
D,0,1,overall,0.8,23,1.0,0.29290818145065783
D,0,1,unseen,0.8,23,1.0,0.29290818145065783
D,0,1,hard,0.8,23,1.0,0.29290818145065783
D,0,1,overall,0.95,23,1.0,0.5432425119897509
D,0,1,unseen,0.95,23,1.0,0.5432425119897509
D,0,1,hard,0.95,23,1.0,0.5432425119897509
D,0,2,overall,0.8,26,0.8846153846153846,0.2687260910439568
D,0,2,unseen,0.8,26,0.8846153846153846,0.2687260910439568
D,0,2,hard,0.8,26,0.8846153846153846,0.2687260910439568
D,0,2,overall,0.95,26,1.0,0.4917356244831026
D,0,2,unseen,0.95,26,1.0,0.4917356244831026
D,0,2,hard,0.95,26,1.0,0.4917356244831026
D,0,3,overall,0.8,25,0.88,0.3026131787212734
D,0,3,unseen,0.8,25,0.88,0.3026131787212734
D,0,3,hard,0.8,25,0.88,0.3026131787212734
D,0,3,overall,0.95,25,0.96,0.5582036290061653
D,0,3,unseen,0.95,25,0.96,0.5582036290061653
D,0,3,hard,0.95,25,0.96,0.5582036290061653
D,0,4,overall,0.8,21,0.8095238095238095,0.2867838137400098
D,0,4,unseen,0.8,21,0.8095238095238095,0.2867838137400098
D,0,4,hard,0.8,21,0.8095238095238095,0.2867838137400098
D,0,4,overall,0.95,21,0.9523809523809523,0.5264904891452232
D,0,4,unseen,0.95,21,0.9523809523809523,0.5264904891452232
D,0,4,hard,0.95,21,0.9523809523809523,0.5264904891452232
