mode,source,confidence_bin,n,mean_probability,observed_frequency
A,s2,"(-0.002, 0.2]",1685,0.05630737822334138,0.002967359050445104
A,s2,"(0.2, 0.4]",1008,0.2966053885011824,0.11904761904761904
A,s2,"(0.4, 0.6]",850,0.499517504411786,0.4223529411764706
A,s2,"(0.6, 0.8]",1824,0.7025126441224226,0.8442982456140351
A,s2,"(0.8, 1.0]",633,0.8433103547213652,0.9826224328593997
A,landsat,"(-0.002, 0.2]",2054,0.12554580194517817,0.03456669912366115
A,landsat,"(0.2, 0.4]",1767,0.2806700565723561,0.2614601018675722
A,landsat,"(0.4, 0.6]",921,0.5014338806836661,0.7372421281216069
A,landsat,"(0.6, 0.8]",866,0.7049321223432335,0.9665127020785219
A,landsat,"(0.8, 1.0]",392,0.8446765893994129,1.0
A,modis,"(-0.002, 0.2]",4588,0.0849278428125027,0.003051438535309503
A,modis,"(0.2, 0.4]",414,0.2631130766627231,0.15458937198067632
A,modis,"(0.4, 0.6]",343,0.5210270524916355,0.6938775510204082
A,modis,"(0.6, 0.8]",427,0.6866230027405351,0.8711943793911007
A,modis,"(0.8, 1.0]",228,0.8547467872335005,0.9868421052631579
A,unknown,"(-0.002, 0.2]",6000,0.007295833738018951,0.0
B,s2,"(-0.002, 0.2]",1895,0.059749907352167196,0.0031662269129287598
B,s2,"(0.2, 0.4]",943,0.29652181991587356,0.12195121951219512
B,s2,"(0.4, 0.6]",703,0.4984419517669122,0.422475106685633
B,s2,"(0.6, 0.8]",1671,0.7052031104269475,0.83901855176541
B,s2,"(0.8, 1.0]",788,0.8513000246083873,0.9809644670050761
B,landsat,"(-0.002, 0.2]",2303,0.11864679039393154,0.03300043421623969
B,landsat,"(0.2, 0.4]",1545,0.28249393804404144,0.2686084142394822
B,landsat,"(0.4, 0.6]",790,0.5059907785514538,0.7556962025316456
B,landsat,"(0.6, 0.8]",870,0.7056609323203911,0.9701149425287356
B,landsat,"(0.8, 1.0]",492,0.8466958002215365,1.0
B,modis,"(-0.002, 0.2]",4499,0.08071816233576126,0.0020004445432318294
B,modis,"(0.2, 0.4]",414,0.2669632208602023,0.1570048309178744
B,modis,"(0.4, 0.6]",311,0.5192341672033245,0.6591639871382636
B,modis,"(0.6, 0.8]",484,0.6918369423280684,0.8553719008264463
B,modis,"(0.8, 1.0]",292,0.8583777670560644,0.9931506849315068
B,unknown,"(-0.002, 0.2]",6000,0.007825098014873348,0.0
C,s2,"(0.2, 0.4]",1200,0.29622000578201785,0.5925
C,landsat,"(0.2, 0.4]",1200,0.350191529343741,0.32
C,modis,"(0.2, 0.4]",1200,0.22858846487424112,0.0875
C,unknown,"(-0.002, 0.2]",1200,0.125,0.0
D,s2,"(-0.002, 0.2]",82,0.047754235003986456,0.012195121951219513
D,s2,"(0.2, 0.4]",3,0.30449370341191656,0.0
D,s2,"(0.4, 0.6]",2,0.5329749902525569,1.0
D,s2,"(0.6, 0.8]",10,0.6763388040040015,0.7
D,s2,"(0.8, 1.0]",20,0.8745387613369493,0.9
D,landsat,"(-0.002, 0.2]",41,0.062163998140151444,0.07317073170731707
D,landsat,"(0.2, 0.4]",26,0.276099473276569,0.19230769230769232
D,landsat,"(0.4, 0.6]",5,0.4999680919521401,0.6
D,landsat,"(0.6, 0.8]",6,0.7310157038743664,1.0
D,landsat,"(0.8, 1.0]",39,0.8806006087118803,0.9743589743589743
D,modis,"(-0.002, 0.2]",77,0.04603960052034136,0.0
D,modis,"(0.2, 0.4]",3,0.26166752038621394,0.0
D,modis,"(0.4, 0.6]",1,0.4538292458782542,1.0
D,modis,"(0.6, 0.8]",19,0.7044651461938981,0.8421052631578947
D,modis,"(0.8, 1.0]",17,0.9442797334840018,1.0
D,unknown,"(-0.002, 0.2]",117,0.014294148943852435,0.0
