dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
overall,all,1200,0.10851010946380131,0.0,A,0,0,nearest_left
seen_polygon,False,1022,0.10985130298390527,0.0,A,0,0,nearest_left
seen_polygon,True,178,0.10046361818062796,0.0,A,0,0,nearest_left
crop_type,зерновые,275,0.08274012686060712,5.18,A,0,0,nearest_left
crop_type,озимая пшеница,796,0.12021082252254794,0.0,A,0,0,nearest_left
crop_type,пастбища/зерновые,110,0.0767149175599798,6.99,A,0,0,nearest_left
crop_type,подсолнечник,19,0.07131166094489477,8.61,A,0,0,nearest_left
source_label,landsat,512,0.0940159266064034,1.8,A,0,0,nearest_left
source_label,modis,178,0.14632476373639863,0.0,A,0,0,nearest_left
source_label,s2,510,0.10657429307654066,0.0,A,0,0,nearest_left
gap_length,1,911,0.10803479372581266,0.0,A,0,0,nearest_left
gap_length,2,214,0.10883167390242603,0.0,A,0,0,nearest_left
gap_length,3,66,0.11174448996839158,0.0,A,0,0,nearest_left
gap_length,4,4,0.11927052290943978,0.0,A,0,0,nearest_left
gap_length,5,5,0.12716993402125137,0.0,A,0,0,nearest_left
left_distance_bin,0-7,1018,0.10124006763669315,0.0,A,0,0,nearest_left
left_distance_bin,16-30,21,0.13831213421982944,0.0,A,0,0,nearest_left
left_distance_bin,31+,22,0.13928495950600667,0.0,A,0,0,nearest_left
left_distance_bin,8-15,138,0.14398136989394697,0.0,A,0,0,nearest_left
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,nearest_left
right_distance_bin,0-7,1003,0.10578244783849013,0.0,A,0,0,nearest_left
right_distance_bin,16-30,34,0.14737137616943688,0.0,A,0,0,nearest_left
right_distance_bin,31+,14,0.1585688331774842,0.0,A,0,0,nearest_left
right_distance_bin,8-15,147,0.11086521080575373,0.0,A,0,0,nearest_left
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,nearest_left
year,2010,28,0.09257822901589279,2.23,A,0,0,nearest_left
year,2011,43,0.10753232242408771,0.0,A,0,0,nearest_left
year,2012,11,0.15403387927628492,0.0,A,0,0,nearest_left
year,2013,32,0.10449232011399075,0.0,A,0,0,nearest_left
year,2014,39,0.09008711098170781,2.97,A,0,0,nearest_left
year,2015,36,0.10897772147265607,0.0,A,0,0,nearest_left
year,2016,36,0.14959143083151638,0.0,A,0,0,nearest_left
year,2017,88,0.10070373707648539,0.0,A,0,0,nearest_left
year,2018,67,0.10931979391394168,0.0,A,0,0,nearest_left
year,2019,144,0.12008473426670116,0.0,A,0,0,nearest_left
year,2020,155,0.10467047150272836,0.0,A,0,0,nearest_left
year,2021,137,0.12516532337853192,0.0,A,0,0,nearest_left
year,2022,125,0.08114497301418666,5.66,A,0,0,nearest_left
year,2023,130,0.1161084504980684,0.0,A,0,0,nearest_left
year,2024,129,0.08989074695013877,3.03,A,0,0,nearest_left
confidence_bin,low,97,0.08740942950292052,3.78,A,0,0,nearest_left
confidence_bin,medium,846,0.10941354343212381,0.0,A,0,0,nearest_left
confidence_bin,high,257,0.11263510427972874,0.0,A,0,0,nearest_left
overall,all,1200,0.10206936514140416,0.0,A,0,0,nearest_right
seen_polygon,False,1022,0.10292838734974444,0.0,A,0,0,nearest_right
seen_polygon,True,178,0.09699009198010095,0.9,A,0,0,nearest_right
crop_type,зерновые,275,0.08058748308034797,5.82,A,0,0,nearest_right
crop_type,озимая пшеница,796,0.11219035419546,0.0,A,0,0,nearest_right
crop_type,пастбища/зерновые,110,0.07180679422005457,8.46,A,0,0,nearest_right
crop_type,подсолнечник,19,0.0826102798892515,5.22,A,0,0,nearest_right
source_label,landsat,512,0.1027659450236683,0.0,A,0,0,nearest_right
source_label,modis,178,0.12008414473552617,0.0,A,0,0,nearest_right
source_label,s2,510,0.09422377031653781,1.73,A,0,0,nearest_right
gap_length,1,911,0.0963825205615762,1.09,A,0,0,nearest_right
gap_length,2,214,0.10824885292970203,0.0,A,0,0,nearest_right
gap_length,3,66,0.1427537408626283,0.0,A,0,0,nearest_right
gap_length,4,4,0.19288816379109106,0.0,A,0,0,nearest_right
gap_length,5,5,0.08665379895240584,4.0,A,0,0,nearest_right
left_distance_bin,0-7,1018,0.09492656492539134,1.52,A,0,0,nearest_right
left_distance_bin,16-30,21,0.11503514950236181,0.0,A,0,0,nearest_right
left_distance_bin,31+,22,0.11735274471203633,0.0,A,0,0,nearest_right
left_distance_bin,8-15,138,0.1409528443241729,0.0,A,0,0,nearest_right
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,nearest_right
right_distance_bin,0-7,1003,0.09288841542136855,2.13,A,0,0,nearest_right
right_distance_bin,16-30,34,0.1577538506513653,0.0,A,0,0,nearest_right
right_distance_bin,31+,14,0.17732874770453247,0.0,A,0,0,nearest_right
right_distance_bin,8-15,147,0.13177666237535046,0.0,A,0,0,nearest_right
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,nearest_right
year,2010,28,0.09127814422152504,2.62,A,0,0,nearest_right
year,2011,43,0.15213065657592206,0.0,A,0,0,nearest_right
year,2012,11,0.12945847742627328,0.0,A,0,0,nearest_right
year,2013,32,0.12174375717427889,0.0,A,0,0,nearest_right
year,2014,39,0.10522826096890206,0.0,A,0,0,nearest_right
year,2015,36,0.08353794405460241,4.94,A,0,0,nearest_right
year,2016,36,0.1166760892615601,0.0,A,0,0,nearest_right
year,2017,88,0.115897522868311,0.0,A,0,0,nearest_right
year,2018,67,0.09343852845586954,1.97,A,0,0,nearest_right
year,2019,144,0.09498678136082699,1.5,A,0,0,nearest_right
year,2020,155,0.09197295759442044,2.41,A,0,0,nearest_right
year,2021,137,0.10714550104850797,0.0,A,0,0,nearest_right
year,2022,125,0.08367998097199106,4.9,A,0,0,nearest_right
year,2023,130,0.1101463757933173,0.0,A,0,0,nearest_right
year,2024,129,0.08973999535648225,3.08,A,0,0,nearest_right
confidence_bin,low,97,0.11001041217960675,0.0,A,0,0,nearest_right
confidence_bin,medium,846,0.09855178238111523,0.43,A,0,0,nearest_right
confidence_bin,high,257,0.11002525762969798,0.0,A,0,0,nearest_right
overall,all,1200,0.08679363090398737,3.96,A,0,0,mean_neighbors
seen_polygon,False,1022,0.08850955510272315,3.45,A,0,0,mean_neighbors
seen_polygon,True,178,0.07619730393268298,7.14,A,0,0,mean_neighbors
crop_type,зерновые,275,0.06730760930800624,9.81,A,0,0,mean_neighbors
crop_type,озимая пшеница,796,0.09583727445531476,1.25,A,0,0,mean_neighbors
crop_type,пастбища/зерновые,110,0.06146525908800149,11.56,A,0,0,mean_neighbors
crop_type,подсолнечник,19,0.05949781888823808,12.15,A,0,0,mean_neighbors
source_label,landsat,512,0.07832694820194856,6.5,A,0,0,mean_neighbors
source_label,modis,178,0.11787639048791544,0.0,A,0,0,mean_neighbors
source_label,s2,510,0.08195290816804945,5.41,A,0,0,mean_neighbors
gap_length,1,911,0.08479511253950214,4.56,A,0,0,mean_neighbors
gap_length,2,214,0.08985176301777262,3.04,A,0,0,mean_neighbors
gap_length,3,66,0.10309999838641878,0.0,A,0,0,mean_neighbors
gap_length,4,4,0.09746160634469499,0.76,A,0,0,mean_neighbors
gap_length,5,5,0.0666858396406303,9.99,A,0,0,mean_neighbors
left_distance_bin,0-7,1018,0.08129568066094059,5.61,A,0,0,mean_neighbors
left_distance_bin,16-30,21,0.10021646472331278,0.0,A,0,0,mean_neighbors
left_distance_bin,31+,22,0.09355650799930931,1.93,A,0,0,mean_neighbors
left_distance_bin,8-15,138,0.11741230353730049,0.0,A,0,0,mean_neighbors
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,mean_neighbors
right_distance_bin,0-7,1003,0.08334307404767433,5.0,A,0,0,mean_neighbors
right_distance_bin,16-30,34,0.09892103223552304,0.32,A,0,0,mean_neighbors
right_distance_bin,31+,14,0.14945481993222398,0.0,A,0,0,mean_neighbors
right_distance_bin,8-15,147,0.09824419226619005,0.53,A,0,0,mean_neighbors
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,mean_neighbors
year,2010,28,0.07845644494247096,6.46,A,0,0,mean_neighbors
year,2011,43,0.09483969577752994,1.55,A,0,0,mean_neighbors
year,2012,11,0.12507609395431352,0.0,A,0,0,mean_neighbors
year,2013,32,0.10329518754302401,0.0,A,0,0,mean_neighbors
year,2014,39,0.07834077822603784,6.5,A,0,0,mean_neighbors
year,2015,36,0.06307003162509606,11.08,A,0,0,mean_neighbors
year,2016,36,0.11237747112161292,0.0,A,0,0,mean_neighbors
year,2017,88,0.0816540998113547,5.5,A,0,0,mean_neighbors
year,2018,67,0.07681745886895947,6.95,A,0,0,mean_neighbors
year,2019,144,0.09020762643036415,2.94,A,0,0,mean_neighbors
year,2020,155,0.0814663001720701,5.56,A,0,0,mean_neighbors
year,2021,137,0.10155758215077364,0.0,A,0,0,mean_neighbors
year,2022,125,0.06139600331079469,11.58,A,0,0,mean_neighbors
year,2023,130,0.10245782598038466,0.0,A,0,0,mean_neighbors
year,2024,129,0.07358343384210668,7.92,A,0,0,mean_neighbors
confidence_bin,low,97,0.08140165039247918,5.58,A,0,0,mean_neighbors
confidence_bin,medium,846,0.08811379936473022,3.57,A,0,0,mean_neighbors
confidence_bin,high,257,0.08435236982488901,4.69,A,0,0,mean_neighbors
overall,all,1200,0.08744173726092212,3.77,A,0,0,linear
seen_polygon,False,1022,0.08898487225994219,3.3,A,0,0,linear
seen_polygon,True,178,0.07799303636183061,6.6,A,0,0,linear
crop_type,зерновые,275,0.06618650455734917,10.14,A,0,0,linear
crop_type,озимая пшеница,796,0.09691566045431549,0.93,A,0,0,linear
crop_type,пастбища/зерновые,110,0.05997755821291967,12.01,A,0,0,linear
crop_type,подсолнечник,19,0.07194287988242157,8.42,A,0,0,linear
source_label,landsat,512,0.07831837689839995,6.5,A,0,0,linear
source_label,modis,178,0.11489329477342054,0.0,A,0,0,linear
source_label,s2,510,0.08500399166633246,4.5,A,0,0,linear
gap_length,1,911,0.08586812546450276,4.24,A,0,0,linear
gap_length,2,214,0.08861401257271334,3.42,A,0,0,linear
gap_length,3,66,0.10436592982725175,0.0,A,0,0,linear
gap_length,4,4,0.030772545700136877,20.77,A,0,0,linear
gap_length,5,5,0.10493976293611182,0.0,A,0,0,linear
left_distance_bin,0-7,1018,0.08169968493370171,5.49,A,0,0,linear
left_distance_bin,16-30,21,0.09912264774421102,0.26,A,0,0,linear
left_distance_bin,31+,22,0.11353015286465498,0.0,A,0,0,linear
left_distance_bin,8-15,138,0.1168571491700532,0.0,A,0,0,linear
left_distance_bin,none,1,0.07694167243567429,6.92,A,0,0,linear
right_distance_bin,0-7,1003,0.08402492522001456,4.79,A,0,0,linear
right_distance_bin,16-30,34,0.09588165609547097,1.24,A,0,0,linear
right_distance_bin,31+,14,0.1546411763409141,0.0,A,0,0,linear
right_distance_bin,8-15,147,0.09890310784189184,0.33,A,0,0,linear
right_distance_bin,none,2,0.06559574642646933,10.32,A,0,0,linear
year,2010,28,0.07875594522592032,6.37,A,0,0,linear
year,2011,43,0.09260584636412042,2.22,A,0,0,linear
year,2012,11,0.12267439026158872,0.0,A,0,0,linear
year,2013,32,0.09491042049472692,1.53,A,0,0,linear
year,2014,39,0.08299155942264344,5.1,A,0,0,linear
year,2015,36,0.07287647064415184,8.14,A,0,0,linear
