mode,model,n,rmse,gap_score
A,baseline,6000,0.08845463098077207,3.46
A,catboost,6000,0.06625592399004221,10.12
A,ensemble,6000,0.06864874988974638,9.41
B,baseline,6000,0.09559147167376002,1.32
B,catboost,6000,0.07184886504483701,8.45
B,ensemble,6000,0.07444068301264514,7.67
C,baseline,1200,0.17877237430979828,0.0
C,catboost,1200,0.24660626788737033,0.0
C,ensemble,1200,0.22006788722584636,0.0
D,baseline,117,0.11757604614833413,0.0
D,catboost,117,0.1148089953438372,0.0
D,ensemble,117,0.11467106790263808,0.0
