experiment_id,timestamp,git_commit,data_fingerprint,fold_version,mask_version,feature_version,feature_set_hash,model,params_json,seed,split,rmse,gap_score,known_rmse,unseen_rmse,hard_rmse,runtime_sec,peak_memory_mb,artifact_uri,conclusion
catboost_A_0_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},17,A,0.06543098961672957,10.37,0.057196412801385266,0.0667614177165252,,88.48133001399992,884.64453125,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_A_1_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},29,A,0.06978715828204753,9.06,0.062409497757473835,0.07097800716457937,,87.38965336199999,885.75,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_A_2_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},43,A,0.06767115588114812,9.7,0.06372357934465403,0.068352892210118,,88.21712372299999,895.21875,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_A_3_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},71,A,0.06476647891243612,10.57,0.058563835938154125,0.06570773862856352,,87.79750938000006,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_A_4_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},101,A,0.06343258883694919,10.97,0.06268450799950337,0.0635740823918862,,88.47153058700019,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_B_0_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},1017,B,0.06942458933949189,9.17,,0.06942458933949189,,87.48738985099999,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_B_0_1,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},1018,B,0.07160768731099433,8.52,,0.07160768731099433,,87.54566096300005,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_B_0_2,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},1019,B,0.06661623530174596,10.02,,0.06661623530174596,,88.61326505299985,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_B_0_3,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},1020,B,0.06747365249332152,9.76,,0.06747365249332152,,87.22426205900001,903.4609375,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_B_0_4,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},1021,B,0.08290624806130521,5.13,,0.08290624806130521,,87.88409845900014,903.65625,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
catboost_C_0_0,2026-09-05T02:05:05.853861+00:00,unavailable,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,4a56b0f6639348fe72e24773bdebe4d17d74b73107c64c94b496035f6b8a5b34,catboost,{},2017,C,0.24660626788737033,0.0,0.24660626788737033,,,87.52062532400032,903.65625,artifacts/ml/trained_gpu_v1/oof_predictions.csv.gz,OOF evaluated; see decisions.json
