model,mode,repeat,fold,feature,importance,std
catboost,A,0,0,anon_polygon_id,1.2594037416463477e-05,2.8293917911870192e-05
catboost,A,0,0,date,0.0,0.0
catboost,A,0,0,crop_type,3.2373659892837026e-05,6.992992377621854e-06
catboost,A,0,0,year,-1.1330769800414753e-05,9.797913172120143e-06
catboost,A,0,0,month,9.299775955186329e-05,6.0845408940413126e-05
catboost,A,0,0,doy,0.000131708565134378,1.5992263543776475e-05
catboost,A,0,0,iso_week,-6.590706403773738e-05,2.5296766230448187e-05
catboost,A,0,0,sin_doy,-0.00012344180066219818,1.505758552023534e-05
catboost,A,0,0,cos_doy,0.00042673324407346835,0.00015984713070417433
catboost,A,0,0,prior_polygon_crop_season_median,5.3293478079127765e-06,1.0367979424323603e-05
catboost,A,0,0,prior_polygon_crop_season_iqr,-4.4405773600368625e-05,2.7863151250827334e-05
catboost,A,0,0,prior_polygon_crop_season_count,-3.058551144494853e-05,1.257040057748432e-05
catboost,A,0,0,prior_polygon_crop_median,2.7392337029544245e-06,4.432994056273454e-06
catboost,A,0,0,prior_polygon_crop_iqr,-1.7048265943078733e-05,5.017177100538617e-06
catboost,A,0,0,prior_polygon_crop_count,3.410441909742351e-05,2.3854839298863284e-05
catboost,A,0,0,prior_crop_season_median,-4.8776493341659566e-05,3.8020446609055014e-05
catboost,A,0,0,prior_crop_season_iqr,-5.2925908635148566e-05,8.20935684212043e-06
catboost,A,0,0,prior_crop_season_count,2.508901321870982e-05,7.05661965350185e-05
catboost,A,0,0,prior_crop_median,1.358116769618195e-05,8.096592783238266e-07
catboost,A,0,0,prior_crop_iqr,-4.6005876786416044e-05,1.9588635436058877e-05
catboost,A,0,0,prior_crop_count,-0.00010429520464200204,0.0001225673710272407
catboost,A,0,0,prior_global_season_median,-6.55281682403197e-05,1.8502278374896153e-05
catboost,A,0,0,prior_global_season_iqr,-1.3819966422176644e-05,7.00762372538577e-05
catboost,A,0,0,prior_global_season_count,-0.00012272792787692416,5.030281475259385e-05
catboost,A,0,0,prior_polygon_crop_year_median,3.5974957007398056e-05,4.1628078368133314e-06
catboost,A,0,0,prior_polygon_crop_year_iqr,-2.9949797825827573e-05,1.4524198112056408e-06
catboost,A,0,0,prior_polygon_crop_year_count,-4.612139232103296e-05,0.00019424170124685003
catboost,A,0,0,prior_crop_year_median,-4.584749238845803e-05,3.449961855295919e-05
catboost,A,0,0,prior_crop_year_iqr,0.00010955982366032263,6.368118262038008e-05
catboost,A,0,0,prior_crop_year_count,-1.3637960405953053e-05,1.6590115694180285e-05
catboost,A,0,0,seasonal_prior,2.5849813216426154e-05,3.243378387004364e-05
catboost,A,0,0,seasonal_prior_level,1.640531952797758e-05,2.894054665455309e-05
catboost,A,0,0,crop_seasonal_prior,-9.371757920906276e-05,7.56757594102403e-05
catboost,A,0,0,prior_global_median,0.0,0.0
catboost,A,0,0,prior_global_iqr,0.0,0.0
catboost,A,0,0,seen_polygon,0.0,0.0
catboost,A,0,0,crop_frequency,4.680145493825283e-06,8.731740445931668e-06
catboost,A,0,0,fit_target_count,0.0,0.0
catboost,A,0,0,target_left_1,0.0001231190451290512,3.66982678172631e-05
catboost,A,0,0,target_left_1_raw,-1.1668252600308127e-05,8.234559187772494e-05
catboost,A,0,0,target_left_1_cleaned,6.628773293070045e-06,4.578405470002239e-05
catboost,A,0,0,target_left_1_invalid_flag,0.0,0.0
