mode,repeat,fold,subgroup,level,n,coverage,mean_width
A,0,0,overall,0.8,1200,0.805,0.1473439909227945
A,0,0,unseen,0.8,1022,0.7984344422700587,0.1481980514586791
A,0,0,overall,0.95,1200,0.9641666666666666,0.2937453436018074
A,0,0,unseen,0.95,1022,0.9628180039138943,0.2945740809641882
A,1,0,overall,0.8,1200,0.78,0.14711881622463494
A,1,0,unseen,0.8,1024,0.7724609375,0.14854880143266175
A,1,0,overall,0.95,1200,0.9483333333333334,0.2911927417481664
A,1,0,unseen,0.95,1024,0.9462890625,0.29300645781311696
A,2,0,overall,0.8,1200,0.8,0.1492679616462505
A,2,0,unseen,0.8,1018,0.7946954813359528,0.15040650841154937
A,2,0,overall,0.95,1200,0.9516666666666667,0.2932484247321643
A,2,0,unseen,0.95,1018,0.9508840864440079,0.2948116220019245
A,3,0,overall,0.8,1200,0.8225,0.14762759404411402
A,3,0,unseen,0.8,1034,0.8278529980657641,0.1483233594190912
A,3,0,overall,0.95,1200,0.96,0.2918555600300195
A,3,0,unseen,0.95,1034,0.960348162475822,0.2924047448429987
A,4,0,overall,0.8,1200,0.8341666666666666,0.14613175257539307
A,4,0,unseen,0.8,1008,0.8333333333333334,0.14641133809349602
A,4,0,overall,0.95,1200,0.9525,0.28655266621876935
A,4,0,unseen,0.95,1008,0.9543650793650794,0.28685719378778357
B,0,0,overall,0.8,1200,0.8,0.147453079722007
B,0,0,unseen,0.8,1200,0.8,0.147453079722007
B,0,0,overall,0.95,1200,0.9566666666666667,0.2939745761659417
B,0,0,unseen,0.95,1200,0.9566666666666667,0.2939745761659417
B,0,1,overall,0.8,1200,0.8091666666666667,0.1484886600850549
B,0,1,unseen,0.8,1200,0.8091666666666667,0.1484886600850549
B,0,1,overall,0.95,1200,0.9516666666666667,0.2910341982484748
B,0,1,unseen,0.95,1200,0.9516666666666667,0.2910341982484748
B,0,2,overall,0.8,1200,0.8358333333333333,0.1473911462531546
B,0,2,unseen,0.8,1200,0.8358333333333333,0.1473911462531546
B,0,2,overall,0.95,1200,0.9525,0.2889630214916184
B,0,2,unseen,0.95,1200,0.9525,0.2889630214916184
B,0,3,overall,0.8,1200,0.8091666666666667,0.1494189450066146
B,0,3,unseen,0.8,1200,0.8091666666666667,0.1494189450066146
B,0,3,overall,0.95,1200,0.9591666666666666,0.2946843235463695
B,0,3,unseen,0.95,1200,0.9591666666666666,0.2946843235463695
B,0,4,overall,0.8,1200,0.7325,0.14398305092992109
B,0,4,unseen,0.8,1200,0.7325,0.14398305092992109
B,0,4,overall,0.95,1200,0.9233333333333333,0.28272099382304733
B,0,4,unseen,0.95,1200,0.9233333333333333,0.28272099382304733
C,0,0,overall,0.8,1200,0.6116666666666667,0.26157640374873986
C,0,0,overall,0.95,1200,0.8125,0.5903074692797662
D,0,0,overall,0.8,22,0.5909090909090909,0.3299358109147337
D,0,0,unseen,0.8,22,0.5909090909090909,0.3299358109147337
D,0,0,hard,0.8,22,0.5909090909090909,0.3299358109147337
D,0,0,overall,0.95,22,0.9090909090909091,0.6088837836164498
D,0,0,unseen,0.95,22,0.9090909090909091,0.6088837836164498
D,0,0,hard,0.95,22,0.9090909090909091,0.6088837836164498
D,0,1,overall,0.8,23,1.0,0.307527702240124
D,0,1,unseen,0.8,23,1.0,0.307527702240124
D,0,1,hard,0.8,23,1.0,0.307527702240124
D,0,1,overall,0.95,23,1.0,0.5593428796323751
D,0,1,unseen,0.95,23,1.0,0.5593428796323751
D,0,1,hard,0.95,23,1.0,0.5593428796323751
D,0,2,overall,0.8,26,0.9230769230769231,0.3158056327472639
D,0,2,unseen,0.8,26,0.9230769230769231,0.3158056327472639
D,0,2,hard,0.8,26,0.9230769230769231,0.3158056327472639
D,0,2,overall,0.95,26,0.9615384615384616,0.5696727258339769
D,0,2,unseen,0.95,26,0.9615384615384616,0.5696727258339769
D,0,2,hard,0.95,26,0.9615384615384616,0.5696727258339769
D,0,3,overall,0.8,25,0.8,0.3169095898166438
D,0,3,unseen,0.8,25,0.8,0.3169095898166438
D,0,3,hard,0.8,25,0.8,0.3169095898166438
D,0,3,overall,0.95,25,0.92,0.5933563370694113
D,0,3,unseen,0.95,25,0.92,0.5933563370694113
D,0,3,hard,0.95,25,0.92,0.5933563370694113
D,0,4,overall,0.8,21,0.6666666666666666,0.21169237638907254
D,0,4,unseen,0.8,21,0.6666666666666666,0.21169237638907254
D,0,4,hard,0.8,21,0.6666666666666666,0.21169237638907254
D,0,4,overall,0.95,21,0.8571428571428571,0.3713601710574914
D,0,4,unseen,0.95,21,0.8571428571428571,0.3713601710574914
D,0,4,hard,0.95,21,0.8571428571428571,0.3713601710574914
