mode,source,n,accuracy,brier
A,landsat,2441,0.754608766898812,0.2707439613789403
A,modis,913,0.9748083242059146,0.07529253141105906
A,s2,2646,0.9183673469387755,0.1555659245884547
B,landsat,2424,0.8110561056105611,0.21920523411062295
B,modis,983,0.9857578840284842,0.054797087404936294
B,s2,2593,0.9005013497878904,0.16055956906998747
C,landsat,384,1.0,0.23471307206933364
C,modis,105,0.0,1.2374294151413097
C,s2,711,0.0,0.9145180627680124
D,landsat,55,0.8545454545454545,0.12845455641469583
D,modis,34,0.9117647058823529,0.20170175912813693
D,s2,28,0.8928571428571429,0.31132765888520114
