mode,source,confidence_bin,n,mean_probability,observed_frequency
A,s2,"(-0.002, 0.2]",2423,0.03505024116154263,0.012794056954189021
A,s2,"(0.2, 0.4]",411,0.3039073345246443,0.24574209245742093
A,s2,"(0.4, 0.6]",624,0.5074427753947475,0.4166666666666667
A,s2,"(0.6, 0.8]",1021,0.7073666064774289,0.7590597453476984
A,s2,"(0.8, 1.0]",1521,0.8973202381685167,0.9723865877712031
A,landsat,"(-0.002, 0.2]",2650,0.08343403818168185,0.03283018867924528
A,landsat,"(0.2, 0.4]",1156,0.28577684051745755,0.3062283737024221
A,landsat,"(0.4, 0.6]",429,0.48331944740999555,0.6899766899766899
A,landsat,"(0.6, 0.8]",276,0.7048994929848875,0.8007246376811594
A,landsat,"(0.8, 1.0]",1489,0.9601359184173265,0.9959704499664204
A,modis,"(-0.002, 0.2]",4781,0.007683087104036541,0.0
A,modis,"(0.2, 0.4]",40,0.3502693224387094,0.225
A,modis,"(0.4, 0.6]",183,0.5087407927561991,0.3333333333333333
A,modis,"(0.6, 0.8]",320,0.7237214732887983,0.625
A,modis,"(0.8, 1.0]",676,0.9290631784724267,0.9511834319526628
A,unknown,"(-0.002, 0.2]",6000,0.0,0.0
B,s2,"(-0.002, 0.2]",2722,0.03347605578028607,0.017266715650257163
B,s2,"(0.2, 0.4]",440,0.30046009629542625,0.30227272727272725
B,s2,"(0.4, 0.6]",439,0.5043926793060451,0.4396355353075171
B,s2,"(0.6, 0.8]",725,0.7124633961908703,0.7917241379310345
B,s2,"(0.8, 1.0]",1674,0.9060901850113848,0.983273596176822
B,landsat,"(-0.002, 0.2]",2862,0.0744802883399508,0.03459119496855346
B,landsat,"(0.2, 0.4]",828,0.2834918434068169,0.28381642512077293
B,landsat,"(0.4, 0.6]",327,0.4889984089549438,0.654434250764526
B,landsat,"(0.6, 0.8]",342,0.7060086185625851,0.7222222222222222
B,landsat,"(0.8, 1.0]",1641,0.9592810666583907,0.9926873857404022
B,modis,"(-0.002, 0.2]",4709,0.0066010162322944505,0.00021235931195582927
B,modis,"(0.2, 0.4]",41,0.33267671743477134,0.0975609756097561
B,modis,"(0.4, 0.6]",130,0.5140927488268935,0.3
B,modis,"(0.6, 0.8]",281,0.7121773675916965,0.594306049822064
B,modis,"(0.8, 1.0]",839,0.9377915350499927,0.9201430274135876
B,unknown,"(-0.002, 0.2]",6000,0.0,0.0
C,s2,"(0.2, 0.4]",1200,0.2743266312999562,0.5925
C,landsat,"(0.4, 0.6]",135,0.5941399149478194,0.24444444444444444
C,landsat,"(0.6, 0.8]",1065,0.6165343299227278,0.3295774647887324
C,modis,"(-0.002, 0.2]",1200,0.1116584104619933,0.0875
C,unknown,"(-0.002, 0.2]",1200,0.0,0.0
D,s2,"(-0.002, 0.2]",84,0.040545158007714556,0.011904761904761904
D,s2,"(0.2, 0.4]",2,0.3363218197410006,0.5
D,s2,"(0.4, 0.6]",11,0.5461783717451826,0.7272727272727273
D,s2,"(0.6, 0.8]",20,0.6776608906049203,0.9
D,landsat,"(-0.002, 0.2]",18,0.13289868751773204,0.0
D,landsat,"(0.2, 0.4]",36,0.3044323478184993,0.1388888888888889
D,landsat,"(0.4, 0.6]",14,0.4549890801101776,0.21428571428571427
D,landsat,"(0.6, 0.8]",2,0.7050043762005649,0.5
D,landsat,"(0.8, 1.0]",47,0.90600085369927,0.9787234042553191
D,modis,"(-0.002, 0.2]",80,0.048951190599774,0.0
D,modis,"(0.2, 0.4]",1,0.3254645868466954,1.0
D,modis,"(0.4, 0.6]",10,0.5304808375288712,0.8
D,modis,"(0.6, 0.8]",12,0.6833505158941878,0.9166666666666666
D,modis,"(0.8, 1.0]",14,0.8500122779380355,1.0
D,unknown,"(-0.002, 0.2]",117,0.0,0.0
