dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
overall,all,1200,0.06543098961672957,10.37,A,0,0,catboost
seen_polygon,False,1022,0.0667614177165252,9.97,A,0,0,catboost
seen_polygon,True,178,0.057196412801385266,12.84,A,0,0,catboost
crop_type,зерновые,275,0.04842458082774839,15.47,A,0,0,catboost
crop_type,озимая пшеница,796,0.07259007789736935,8.22,A,0,0,catboost
crop_type,пастбища/зерновые,110,0.04658047566771436,16.03,A,0,0,catboost
crop_type,подсолнечник,19,0.05598357217567379,13.2,A,0,0,catboost
source_label,landsat,512,0.06559292697200132,10.32,A,0,0,catboost
source_label,modis,178,0.06830470190792558,9.51,A,0,0,catboost
source_label,s2,510,0.06423222747373572,10.73,A,0,0,catboost
gap_length,1,911,0.06019758026671283,11.94,A,0,0,catboost
gap_length,2,214,0.07254689316852422,8.24,A,0,0,catboost
gap_length,3,66,0.10171429725518688,0.0,A,0,0,catboost
gap_length,4,4,0.03393594107273379,19.82,A,0,0,catboost
gap_length,5,5,0.06708189141766732,9.88,A,0,0,catboost
left_distance_bin,0-7,1018,0.06064932292691624,11.81,A,0,0,catboost
left_distance_bin,16-30,21,0.0851622165223182,4.45,A,0,0,catboost
left_distance_bin,31+,22,0.0576616673767141,12.7,A,0,0,catboost
left_distance_bin,8-15,138,0.09197640525159576,2.41,A,0,0,catboost
left_distance_bin,none,1,0.0046974960330380955,28.59,A,0,0,catboost
right_distance_bin,0-7,1003,0.06364657374446066,10.91,A,0,0,catboost
right_distance_bin,16-30,34,0.08136265536952478,5.59,A,0,0,catboost
right_distance_bin,31+,14,0.0998799357580971,0.04,A,0,0,catboost
right_distance_bin,8-15,147,0.06921585693329471,9.24,A,0,0,catboost
right_distance_bin,none,2,0.05208431508893086,14.37,A,0,0,catboost
year,2010,28,0.07081651974533022,8.76,A,0,0,catboost
year,2011,43,0.05766961315040616,12.7,A,0,0,catboost
year,2012,11,0.06219462666290295,11.34,A,0,0,catboost
year,2013,32,0.06758279540737307,9.73,A,0,0,catboost
year,2014,39,0.05168196807393067,14.5,A,0,0,catboost
year,2015,36,0.05569999276318152,13.29,A,0,0,catboost
year,2016,36,0.07042224114893463,8.87,A,0,0,catboost
year,2017,88,0.06027193553619554,11.92,A,0,0,catboost
year,2018,67,0.05505242628457884,13.48,A,0,0,catboost
year,2019,144,0.07111857947409872,8.66,A,0,0,catboost
year,2020,155,0.062317019030852204,11.3,A,0,0,catboost
year,2021,137,0.08174736539649749,5.48,A,0,0,catboost
year,2022,125,0.047891006987623816,15.63,A,0,0,catboost
year,2023,130,0.07708762165687284,6.87,A,0,0,catboost
year,2024,129,0.05861375229488629,12.42,A,0,0,catboost
confidence_bin,low,15,0.05118229506595107,14.65,A,0,0,catboost
confidence_bin,medium,422,0.07030937571994098,8.91,A,0,0,catboost
confidence_bin,high,763,0.0628301978904401,11.15,A,0,0,catboost
overall,all,1200,0.06978715828204753,9.06,A,1,0,catboost
seen_polygon,False,1024,0.07097800716457937,8.71,A,1,0,catboost
seen_polygon,True,176,0.062409497757473835,11.28,A,1,0,catboost
crop_type,зерновые,221,0.058064108495638075,12.58,A,1,0,catboost
crop_type,озимая пшеница,814,0.07514385813881098,7.46,A,1,0,catboost
crop_type,пастбища/зерновые,127,0.05192539832656882,14.42,A,1,0,catboost
crop_type,подсолнечник,38,0.06498041549121457,10.51,A,1,0,catboost
