role,slice,value,n,rmse,mae,gapscore_local
development,year,2010,134,0.05230823096274527,0.03700106405033221,14.31
development,year,2011,153,0.053006471622555375,0.039481832550969945,14.1
development,year,2012,102,0.05937725328399848,0.04426069172435094,12.19
development,year,2013,140,0.051256429364993535,0.03835152952526273,14.62
development,year,2014,172,0.03926265064495145,0.027303226851598476,18.22
development,year,2015,167,0.04275629717367046,0.03117915846194425,17.17
development,year,2016,165,0.052737816040926214,0.036562532038612865,14.18
development,year,2017,255,0.04966210565705993,0.032275594457838404,15.1
development,year,2018,219,0.05050715632150834,0.03322162180287719,14.85
development,year,2019,350,0.07143653189036718,0.04204509735054751,8.57
development,year,2020,355,0.06523177313266698,0.0355227635618468,10.43
development,year,2021,303,0.0694432994881139,0.04507135750314877,9.17
development,year,2022,315,0.0480364071247848,0.03221956779745391,15.59
development,year,2023,339,0.04817172624680008,0.03282531653013764,15.55
development,year,2024,323,0.049391365534574856,0.02841870270981429,15.18
development,source,0,1367,0.06445343822945043,0.03690330600208373,10.66
development,source,1,1464,0.04758756299732087,0.032959532435708344,15.72
development,source,2,661,0.0522713481912845,0.037918260948704464,14.32
development,crop_type,зерновые,972,0.047904910007041564,0.03127704584759668,15.63
development,crop_type,озимая пшеница,1834,0.06194210865087191,0.0396020218268554,11.42
development,crop_type,пастбища/зерновые,132,0.03652424106039224,0.023813464861826106,19.04
development,crop_type,подсолнечник,554,0.04948814619290621,0.03174868469628395,15.15
development,anon_polygon_id,AOI-0002,106,0.060864362813047024,0.04090474099808786,11.74
development,anon_polygon_id,AOI-0003,133,0.05982765056700527,0.03416433799172894,12.05
development,anon_polygon_id,AOI-0004,97,0.04037215115700902,0.03237361346055456,17.89
development,anon_polygon_id,AOI-0007,109,0.0461963283172972,0.031109936063902395,16.14
development,anon_polygon_id,AOI-0008,107,0.06524469525292845,0.04049884003281844,10.43
development,anon_polygon_id,AOI-0011,111,0.05213556563500801,0.030811774283460474,14.36
development,anon_polygon_id,AOI-0015,138,0.07349104227109617,0.03941091271574422,7.95
development,anon_polygon_id,AOI-0020,139,0.04022843378287933,0.027327569757137005,17.93
development,anon_polygon_id,AOI-0021,137,0.04868795385246142,0.03539751634343275,15.39
development,anon_polygon_id,AOI-0022,139,0.04610057252831513,0.028721658159372276,16.17
development,anon_polygon_id,AOI-0023,139,0.060671818628869265,0.035600495699972874,11.8
development,anon_polygon_id,AOI-0026,88,0.07551024668094668,0.04278232470780139,7.35
development,anon_polygon_id,AOI-0027,86,0.0788132191019805,0.061445593515540374,6.36
development,anon_polygon_id,AOI-0030,86,0.06896911102307256,0.045817230730491626,9.31
development,anon_polygon_id,AOI-0035,132,0.03652424106039224,0.023813464861826106,19.04
development,anon_polygon_id,AOI-0037,133,0.044995325334769805,0.027893661908477373,16.5
development,anon_polygon_id,AOI-0038,133,0.03286453314098834,0.02391027826721436,20.14
development,anon_polygon_id,AOI-0041,128,0.041505780304889904,0.031443722313924914,17.55
development,anon_polygon_id,AOI-0043,115,0.04966966232013301,0.03266436512041499,15.1
development,anon_polygon_id,AOI-0048,118,0.05992737156879001,0.03765356301610109,12.02
