fold,role,model,n,rmse,mae,gapscore_local
0,development,linear,1212,0.08855679144895276,0.06301035860357276,3.43
0,development,midpoint,1212,0.08765726762449852,0.0627919937672336,3.7
0,development,lgb,1212,0.05555305019663115,0.03594905529565883,13.33
0,development,lgb_nodonor,1212,0.05550028289922856,0.03594580805186084,13.35
0,development,cat,1212,0.05577559217957615,0.03649240082181528,13.27
0,development,cat_residual,1212,0.05669519364851161,0.03731308160976281,12.99
0,development,source_experts,1212,0.05413158722675516,0.03395405893582919,13.76
0,development,tabicl,1212,0.0580641249704552,0.03776918656015456,12.58
1,development,linear,1143,0.09909666801104008,0.0695961808145936,0.27
1,development,midpoint,1143,0.09580671417357677,0.06802361579293396,1.26
1,development,lgb,1143,0.056774760385677296,0.03730776773166623,12.97
1,development,lgb_nodonor,1143,0.05686010602505888,0.037180457958981256,12.94
1,development,cat,1143,0.05754408922298263,0.0377218210440974,12.74
1,development,cat_residual,1143,0.059409433252614156,0.03859476763092367,12.18
1,development,source_experts,1143,0.05711687759330222,0.03696157755438599,12.86
1,development,tabicl,1143,0.06421422534291309,0.041866010472348364,10.74
2,development,linear,1137,0.09556477657159855,0.0672704599681272,1.33
2,development,midpoint,1137,0.09203839215400078,0.0654186498614857,2.39
2,development,lgb,1137,0.05835755919929701,0.03770274672863995,12.49
2,development,lgb_nodonor,1137,0.05849801865275126,0.03812276702457772,12.45
2,development,cat,1137,0.05982496750111809,0.03915369502940113,12.05
2,development,cat_residual,1137,0.06060485522773558,0.039486846226437486,11.82
2,development,source_experts,1137,0.059616661584772176,0.03745259494150321,12.12
2,development,tabicl,1137,0.06361659832945968,0.04178583379854108,10.92
3,audit,linear,1079,0.08678139276786229,0.06119309907141642,3.97
3,audit,midpoint,1079,0.08548548561487662,0.060067111540610535,4.35
3,audit,lgb,1079,0.06047777835317635,0.039211936977572415,11.86
3,audit,lgb_nodonor,1079,0.06014179894306974,0.03914261267374708,11.96
3,audit,cat,1079,0.06018217828680077,0.0388629578824828,11.95
3,audit,cat_residual,1079,0.060054387252418455,0.03858402125895555,11.98
3,audit,source_experts,1079,0.05755316617227806,0.03666143025546358,12.73
3,audit,tabicl,1079,0.06370871995249547,0.041316051844461694,10.89
