feature,importance
primary_mean21,11.930715243809928
primary_robust_linear,6.405091550100612
landsat_linear,5.100578685231575
primary_mean45,4.200604628252744
landsat_robust_linear,4.029290994998736
landsat_evi_linear,3.0606899149718085
primary_midpoint,2.5505661335949186
donor_modis_3,1.6995894178550033
date_crop_modis_mean,1.5783493212810353
landsat_midpoint,1.40348097205552
donor_modis_3_n,1.1450291009629916
landsat_evi_robust_linear,1.1070006501874112
donor_modis_10,1.0546331446204813
primary_linear,1.0459945606894656
landsat_prev1,1.032900179121752
landsat_mean21,0.856772247337902
date_all_primary_count,0.8131687619999853
date_crop_primary_median,0.7970458467877205
date_all_primary_mean,0.7970159451039958
date_all_primary_median,0.7938460893942115
primary_prev2,0.7685359885125802
date_crop_primary_mean,0.7628669919679375
date_all_modis_count,0.7477738731800381
donor_modis_10_n,0.7453010096181254
date_all_modis_median,0.7446633099148848
landsat_mean45,0.7377797172112993
landsat_evi_prev1,0.7341529414533668
modis_minus_primary,0.6880542184687786
primary_next2,0.6732795068497375
s2_minus_primary,0.6656314552142406
date_crop_modis_median,0.6645073422564903
date_crop_s2_mean,0.6204377650721005
modis_donor_disagreement,0.6011633884694717
date_all_modis_std,0.5969126419662221
landsat_evi_mean21,0.5874051797967688
calendar_sin_8,0.5649239456058831
modis_linear,0.5435680892399402
modis_evi_midpoint,0.5267207000955877
source_spread,0.5248858129761417
landsat_evi_nearest,0.5231444561887753
landsat_ndwi_robust_linear,0.5205864016257908
calendar_sin_16,0.5127722435632714
primary_prev3,0.5070962913096536
donor_s2_10,0.5067395961396688
landsat_next1,0.5012368149688134
year,0.48576307428308696
landsat_minus_primary,0.4802510338542551
modis_evi_linear,0.47860522611072837
modis_mean21,0.47175982365350394
modis_evi_next1,0.46978156061418236
s2_donor_disagreement,0.44329146993886714
modis_slope,0.4330614080179968
landsat_evi_mean45,0.4215802903401464
modis_robust_linear,0.4158214867250835
primary_prev1,0.41220790575563254
modis_evi_robust_linear,0.41044579149755495
landsat_nearest,0.4074363969980453
donor_s2_3_n,0.39985378314719655
date_crop_s2_median,0.38779943106555287
s2_evi_nearest,0.3854567314724544
date_crop_landsat_median,0.37933620137999263
modis_minus_clim,0.36847424827509917
date_all_modis_mean,0.3605335184916734
modis_evi_slope,0.3492091994784074
date_all_s2_std,0.345307172049138
