anon_polygon_id,start_date,end_date,observed_points,duration_days,min_z,interpretation,status
AOI-0005,2010-04-07,2010-10-16,23,192,-4.107440807690661,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2012-07-11,2012-07-27,3,16,-2.8538395473946565,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2012-08-26,2012-10-13,6,48,-3.5112292456338943,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2013-06-10,2013-07-28,6,48,-3.057788640393956,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2014-09-17,2014-09-30,2,13,-1.3748292832749787,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2014-10-16,2014-10-27,2,11,-2.371712005676749,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2015-04-05,2015-04-13,3,8,-6.714539456496053,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2017-04-16,2017-05-09,4,23,-2.5425435588145215,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2020-09-26,2020-10-07,3,11,-1.5807249022539527,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2020-10-17,2020-10-27,3,10,-2.1166605774323055,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0005,2024-10-06,2024-10-26,4,20,-1.52105460566893,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2010-09-06,2010-09-14,2,8,-1.178571063701031,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2011-04-07,2011-06-06,9,60,-2.3846717620484963,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2012-06-23,2012-07-09,3,16,-2.5125346202039696,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2013-04-16,2013-05-09,5,23,-1.2832347028316602,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2014-06-10,2014-07-28,7,48,-4.316638520312778,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2014-09-14,2014-09-30,3,16,-1.4063186033956763,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2017-04-01,2017-06-05,14,65,-1.7647689020195017,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2018-04-14,2018-06-01,11,48,-2.243556359428207,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2019-06-15,2019-07-22,11,37,-2.7779859752354223,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2019-09-14,2019-09-28,4,14,-1.9151875197743515,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2020-04-02,2020-05-15,11,43,-1.4493596480706545,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2021-06-26,2021-07-09,3,13,-1.3277994988514177,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2022-06-26,2022-07-19,8,23,-1.6582991003731882,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2023-05-14,2023-06-06,5,23,-2.2097890872813046,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2024-06-13,2024-07-18,10,35,-3.273204061406963,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0006,2024-09-26,2024-10-15,5,19,-2.236908318834375,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2010-06-11,2010-07-05,4,24,-3.3449345999125155,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2010-09-23,2010-10-01,2,8,-1.1102513599392252,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2011-04-07,2011-06-06,6,60,-2.9224482037669532,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2013-04-16,2013-06-03,7,48,-2.8352056598905317,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2014-07-28,2014-08-25,3,28,-1.76503769630858,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2014-10-16,2014-10-28,2,12,-1.1147993241454022,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2018-06-09,2018-07-02,7,23,-2.224216368240367,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2018-07-28,2018-08-20,3,23,-1.2307686835015104,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2019-04-06,2019-05-16,11,40,-2.2559196975711533,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2019-06-17,2019-07-02,7,15,-1.9462047661099586,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2020-06-24,2020-07-09,6,15,-1.5233799281863847,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2020-09-19,2020-09-27,5,8,-3.0148497459540766,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0009,2024-04-01,2024-06-03,14,63,-3.8635679597144486,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2011-04-07,2011-04-19,2,12,-1.3222839444953078,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2012-04-06,2012-05-24,5,48,-2.6152860829669966,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2015-04-06,2015-06-17,10,72,-3.1174194515317777,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2018-07-28,2018-08-20,3,23,-1.7532069698276573,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2018-08-29,2018-09-14,3,16,-2.2135983560029673,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2019-06-20,2019-07-07,9,17,-3.798882781600408,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2020-09-27,2020-10-15,6,18,-2.315028129991391,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2021-04-02,2021-04-22,4,20,-3.9527182183448315,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2021-04-30,2021-05-20,8,20,-5.67525537387989,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2021-06-11,2021-06-21,4,10,-2.168344519542244,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2022-07-09,2022-07-17,4,8,-1.8835241039585227,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2023-08-08,2023-08-18,3,10,-1.2552179887879313,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
AOI-0012,2024-06-23,2024-07-19,11,26,-2.363602137657252,"Устойчивое отрицательное отклонение. Причина не установлена; проверить облачность, уборку, смену культуры и погоду.",candidate_for_review
