role,slice,value,n,rmse,mae,gapscore_local
development,year,2010,134,0.051756040580147475,0.03579722715953821,14.47
development,year,2011,153,0.050686032776935085,0.03764172234948523,14.79
development,year,2012,102,0.058436771743752836,0.04312065993922415,12.47
development,year,2013,140,0.04977184127936328,0.03702865883882027,15.07
development,year,2014,172,0.038016143318502935,0.025833984518691806,18.6
development,year,2015,167,0.039228703361135535,0.02776470631047476,18.23
development,year,2016,165,0.051618550327628444,0.035294491489484076,14.51
development,year,2017,255,0.04748371788801259,0.030839019763293476,15.75
development,year,2018,219,0.04806300303888524,0.03162798825509176,15.58
development,year,2019,350,0.06981235796857825,0.04070616983303009,9.06
development,year,2020,355,0.06385350868927596,0.03447024524352279,10.84
development,year,2021,303,0.06839384719523194,0.043249842625331866,9.48
development,year,2022,315,0.047469788543481335,0.03223335272578793,15.76
development,year,2023,339,0.04724300245204027,0.032097494229607455,15.83
development,year,2024,323,0.04938191188995395,0.02792435597433597,15.19
development,source,0,1367,0.06334847554860674,0.03590345051883094,11.0
development,source,1,1464,0.04628127023086694,0.03162732751465771,16.12
development,source,2,661,0.050358104487048895,0.03644939708680134,14.89
development,crop_type,зерновые,972,0.04645645681322608,0.02986124373530574,16.06
development,crop_type,озимая пшеница,1834,0.060882183785725,0.03843630590364542,11.74
development,crop_type,пастбища/зерновые,132,0.037013064289077864,0.024933202060604363,18.9
development,crop_type,подсолнечник,554,0.04695230477456157,0.030084800009158513,15.91
development,anon_polygon_id,AOI-0002,106,0.0590945526413892,0.039658659754924504,12.27
development,anon_polygon_id,AOI-0003,133,0.05796688126171241,0.033234092120683,12.61
development,anon_polygon_id,AOI-0004,97,0.04080674249713637,0.03266611993176435,17.76
development,anon_polygon_id,AOI-0007,109,0.04552906717447963,0.029528834087364914,16.34
development,anon_polygon_id,AOI-0008,107,0.06524363993265928,0.03863174554004402,10.43
development,anon_polygon_id,AOI-0011,111,0.05033611160421259,0.029307989104269475,14.9
development,anon_polygon_id,AOI-0015,138,0.07217849958461202,0.03811837358307357,8.35
development,anon_polygon_id,AOI-0020,139,0.039392589395453786,0.025943418058009537,18.18
development,anon_polygon_id,AOI-0021,137,0.04610353337674993,0.03289838403944402,16.17
development,anon_polygon_id,AOI-0022,139,0.043406384941637004,0.02762488132192397,16.98
development,anon_polygon_id,AOI-0023,139,0.057057103885520835,0.033912999840713845,12.88
development,anon_polygon_id,AOI-0026,88,0.07267747466965327,0.0405626783998237,8.2
development,anon_polygon_id,AOI-0027,86,0.07807373827529009,0.05967627139373295,6.58
development,anon_polygon_id,AOI-0030,86,0.06954558262520846,0.0464128615999618,9.14
development,anon_polygon_id,AOI-0035,132,0.037013064289077864,0.024933202060604363,18.9
development,anon_polygon_id,AOI-0037,133,0.044654221198145196,0.02752798841167282,16.6
development,anon_polygon_id,AOI-0038,133,0.0323787777449114,0.022843287721853227,20.29
development,anon_polygon_id,AOI-0041,128,0.0390662573921832,0.02897450118129727,18.28
development,anon_polygon_id,AOI-0043,115,0.04998355783032798,0.032465577420784486,15.0
development,anon_polygon_id,AOI-0048,118,0.05632224223432162,0.03435085628470727,13.1
development,anon_polygon_id,AOI-0053,115,0.07349716726784217,0.04555527165936514,7.95
development,anon_polygon_id,AOI-0060,111,0.0627150739154639,0.041011014090180584,11.19
development,anon_polygon_id,AOI-0063,112,0.05692272953416634,0.03388256922481526,12.92
development,anon_polygon_id,AOI-0064,112,0.054847339265100534,0.03348131626559518,13.55
development,anon_polygon_id,AOI-0065,112,0.04749399602990477,0.03407339486731226,15.75
development,anon_polygon_id,AOI-0069,120,0.03857380865274837,0.024839519544353098,18.43
development,anon_polygon_id,AOI-0070,120,0.047168458677904895,0.026149295354077343,15.85
development,anon_polygon_id,AOI-0071,105,0.06099330580340972,0.04487059810433179,11.7
development,anon_polygon_id,AOI-0075,106,0.057926087211804214,0.04091402275497928,12.62
development,anon_polygon_id,AOI-0077,105,0.05911036963847817,0.04430224210394431,12.27
audit,year,2010,41,0.04153879393007085,0.0329555780766982,17.54
audit,year,2011,51,0.051358682437921126,0.03384209300822168,14.59
audit,year,2012,32,0.05729262287702758,0.03987318488505237,12.81
audit,year,2013,48,0.06789359473770326,0.04711372451912622,9.63
audit,year,2014,57,0.056862371695999364,0.03765552971041056,12.94
audit,year,2015,59,0.041299253951701975,0.031285862064088385,17.61
audit,year,2016,54,0.07716643494330232,0.0492819646610839,6.85
audit,year,2017,78,0.04915351956586811,0.029245939109543758,15.25
audit,year,2018,71,0.044769789410036655,0.03163201255346141,16.57
audit,year,2019,95,0.05867505132086024,0.036245384985843086,12.4
audit,year,2020,107,0.0455303186195791,0.03193049174447046,16.34
audit,year,2021,91,0.0537675662477141,0.035834611739481846,13.87
