fold,role,model,n,rmse,mae,gapscore_local
0,development,linear,1212,0.08855679144895276,0.06301035860357276,3.43
0,development,midpoint,1212,0.08765726762449852,0.0627919937672336,3.7
0,development,lgb,1212,0.05498729020341183,0.03519481674160896,13.5
0,development,lgb_nodonor,1212,0.05470769943337936,0.03501089510162905,13.59
0,development,source_experts,1212,0.051872115651643846,0.032417199747876116,14.44
1,development,linear,1143,0.09909666801104008,0.0695961808145936,0.27
1,development,midpoint,1143,0.09580671417357677,0.06802361579293396,1.26
1,development,lgb,1143,0.055745133073839256,0.036612422357016165,13.28
1,development,lgb_nodonor,1143,0.055390716813455906,0.0360460896262505,13.38
1,development,source_experts,1143,0.055096679966077165,0.03520027848210045,13.47
2,development,linear,1137,0.09556477657159855,0.0672704599681272,1.33
2,development,midpoint,1137,0.09203839215400078,0.0654186498614857,2.39
2,development,lgb,1137,0.05750873218638268,0.03703560557144593,12.75
2,development,lgb_nodonor,1137,0.05780371089495305,0.03718049970157029,12.66
2,development,source_experts,1137,0.05829728710937279,0.036408717154429775,12.51
3,audit,linear,1079,0.08678139276786229,0.06119309907141642,3.97
3,audit,midpoint,1079,0.08548548561487662,0.060067111540610535,4.35
3,audit,lgb,1079,0.05936410219107791,0.03815051891810096,12.19
3,audit,lgb_nodonor,1079,0.059166413159146294,0.03810567778827843,12.25
3,audit,source_experts,1079,0.056230088318256495,0.03526325651673045,13.13
