anon_polygon_id,crop_type,rows,observed,events,critical_events,max_score,max_confidence,source_risk_or_low_confidence_events,unsupported_observed,warnings,detect_sec
AOI-0038,зерновые,213,95,2,0,0.1320313166065411,0.5333333333333333,2,0,['MISSING_HARMONIZED_VALUES'],3.3977467000004253
AOI-0040,зерновые,213,94,3,0,0.23603857299501738,0.8666666666666667,3,0,['MISSING_HARMONIZED_VALUES'],0.9562737999949604
AOI-0037,зерновые,213,93,5,0,3.0117052130014974,0.7454545454545454,5,0,['MISSING_HARMONIZED_VALUES'],0.9112376999983098
AOI-0041,зерновые,89,89,4,0,3.2405512918069883,0.72,4,0,[],0.4171238999988418
AOI-0019,подсолнечник,213,84,6,0,1.8502870953024815,0.8000000000000002,6,0,['MISSING_HARMONIZED_VALUES'],1.9732761000050232
AOI-0033,пастбища/зерновые,213,84,0,0,0.0,,0,0,['MISSING_HARMONIZED_VALUES'],1.9355816999959643
AOI-0035,пастбища/зерновые,84,84,1,0,7.341653732345252,0.6999999999999998,1,0,[],0.3618761000034283
AOI-0076,озимая пшеница,84,84,6,1,3.5951813781870543,0.8857142857142858,6,0,[],0.8198801000035019
AOI-0015,озимая пшеница,213,83,4,0,5.185183420224636,0.783783783783784,4,0,['MISSING_HARMONIZED_VALUES'],1.7351564000055077
AOI-0020,подсолнечник,213,83,3,0,3.2290788719087504,0.8,3,0,['MISSING_HARMONIZED_VALUES'],0.89892520000285
AOI-0022,подсолнечник,213,83,3,1,13.563344356441037,0.7333333333333333,3,0,['MISSING_HARMONIZED_VALUES'],0.9950513000003411
AOI-0023,подсолнечник,213,81,4,0,1.7530668233121727,0.8,4,0,['MISSING_HARMONIZED_VALUES'],1.0169756999966921
AOI-0075,озимая пшеница,213,80,1,0,2.692224656325618,0.8,1,0,['MISSING_HARMONIZED_VALUES'],1.0141913000043132
AOI-0021,подсолнечник,213,79,0,0,0.0,,0,0,['MISSING_HARMONIZED_VALUES'],0.9069565000027069
AOI-0003,озимая пшеница,213,78,3,1,3.3791168502341815,0.75,3,0,['MISSING_HARMONIZED_VALUES'],0.9745192999980645
AOI-0043,зерновые,213,77,1,0,0.43574670707484375,1.0,0,0,['MISSING_HARMONIZED_VALUES'],1.1425062999987858
AOI-0077,озимая пшеница,77,77,1,0,0.2622096191257123,0.6666666666666666,1,0,[],0.4223603999998886
AOI-0053,озимая пшеница,213,74,2,1,5.954416981936388,0.6333333333333332,2,0,['MISSING_HARMONIZED_VALUES'],1.0003844999955618
AOI-0052,озимая пшеница,213,72,4,0,10.000281504151278,0.7217391304347825,4,0,['MISSING_HARMONIZED_VALUES'],0.9719140999950469
AOI-0011,озимая пшеница,213,69,2,2,4.609381043521105,0.7333333333333334,1,0,['MISSING_HARMONIZED_VALUES'],0.9940873000014108
AOI-0069,зерновые,213,69,1,0,0.12367585529422348,0.5333333333333333,1,0,['MISSING_HARMONIZED_VALUES'],0.9415729000029387
AOI-0007,озимая пшеница,213,68,4,0,1.32759057287069,0.9333333333333332,4,0,['MISSING_HARMONIZED_VALUES'],0.9723894999988261
AOI-0050,озимая пшеница,68,68,1,1,12.425065096228101,0.6800000000000002,1,0,[],0.3152990000016871
AOI-0055,озимая пшеница,68,68,1,1,3.726274201769464,0.6842105263157895,1,0,[],0.30594099999871105
AOI-0056,озимая пшеница,68,68,1,1,3.588327463977981,0.6499999999999999,1,0,[],0.2952088000020012
AOI-0060,озимая пшеница,213,68,1,0,0.3192448207140912,0.5333333333333333,1,0,['MISSING_HARMONIZED_VALUES'],0.9366220000010799
AOI-0064,озимая пшеница,213,68,1,0,1.4224074300869396,0.9199999999999999,1,0,['MISSING_HARMONIZED_VALUES'],0.985754100001941
AOI-0070,зерновые,213,68,0,0,0.0,,0,0,['MISSING_HARMONIZED_VALUES'],0.9720671999966726
AOI-0063,озимая пшеница,213,67,4,0,7.230238747298115,0.8500000000000001,4,0,['MISSING_HARMONIZED_VALUES'],0.978708499998902
AOI-0065,озимая пшеница,213,67,5,0,15.214375207236838,0.872,5,0,['MISSING_HARMONIZED_VALUES'],0.9570915000003879
AOI-0045,зерновые,213,66,2,0,0.8533982533299929,0.9,2,0,['MISSING_HARMONIZED_VALUES'],0.9811416000011377
AOI-0008,озимая пшеница,64,64,2,0,13.733183210104169,0.872,2,0,[],0.3016907999990508
AOI-0048,зерновые,213,64,4,1,9.900107819973504,0.7666666666666666,4,0,['MISSING_HARMONIZED_VALUES'],0.9257792999997037
AOI-0071,зерновые,63,63,2,0,7.0161493158122115,0.7142857142857142,2,0,[],0.38313059999927646
AOI-0002,озимая пшеница,213,59,1,0,1.2625144847573169,0.7000000000000001,1,0,['MISSING_HARMONIZED_VALUES'],0.8619637000010698
AOI-0004,озимая пшеница,213,57,0,0,0.0,,0,0,['MISSING_HARMONIZED_VALUES'],0.8334467000022414
AOI-0026,озимая пшеница,213,54,2,1,13.608518320720917,0.6333333333333332,2,0,['MISSING_HARMONIZED_VALUES'],0.9217839000048116
AOI-0027,озимая пшеница,50,50,4,1,6.081394186170468,0.8,4,0,[],0.2504367000001366
AOI-0030,озимая пшеница,213,49,0,0,0.0,,0,0,['MISSING_HARMONIZED_VALUES'],0.8423502000005101
