experiment_id,timestamp,git_commit,data_fingerprint,fold_version,mask_version,feature_version,feature_set_hash,model,params_json,seed,split,rmse,gap_score,known_rmse,unseen_rmse,hard_rmse,runtime_sec,peak_memory_mb,artifact_uri,conclusion
baseline_v1_nearest_left_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},17,CV-A/0/0,0.1085101094638013,0.0,0.1004636181806279,0.1098513029839052,,4.894363667001016,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},17,CV-A/0/0,0.1020693651414041,0.0,0.0969900919801009,0.1029283873497444,,4.935400291986298,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},17,CV-A/0/0,0.0867936309039873,3.96,0.0761973039326829,0.0885095551027231,,4.976177499978803,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_linear_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},17,CV-A/0/0,0.0874417372609221,3.77,0.0779930363618306,0.0889848722599421,,5.0175654999911785,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_seasonal_crop_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},17,CV-A/0/0,0.1834378462234484,0.0,0.1518266327038014,0.1884019623737079,,5.058254042000044,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},17,CV-A/0/0,0.0907680446506062,2.77,0.0817162397898546,0.0922538121823987,,5.09904266698868,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_akima_A_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,akima,{},17,CV-A/0/0,0.0950268562549545,1.49,0.0826226046339657,0.0970252656276704,,5.140198749984847,373.9375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_left_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},29,CV-A/1/0,0.1117096231110849,0.0,0.0977570926264511,0.1139357721635998,,4.5072674580151215,426.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},29,CV-A/1/0,0.1166499957991966,0.0,0.1058958260606512,0.118400038814968,,4.548532583023189,426.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},29,CV-A/1/0,0.0944406370995353,1.67,0.0854149541332477,0.0959064230527134,,4.590509041008772,426.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_linear_A_1_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},29,CV-A/1/0,0.0938589759349491,1.84,0.0858336796985287,0.0951701950775487,,4.632149583019782,426.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
